,Konclude,TrOWL,leancor
ore2014/files/approximated_66246ec2-286f-4f58-9ecd-a6e521ccf9b2_richard.rdf_functional.owl,false,false,false
ore2014/files/66246ec2-286f-4f58-9ecd-a6e521ccf9b2_richard.rdf_functional.owl,false,false,false
ore2014/files/00478.owl_functional.owl,false,false,false
ore2014/files/d91806f3-5470-4b24-8adb-d2e17512028f_function_1.owl_functional.owl,false,false,false
ore2014/files/internano.internano-nanomanufacturing-taxonomy.123.owl.xml_functional.owl,false,false,false
ore2014/files/fc9d0e03-04c3-455f-b15c-90d98cf06bf0_OID_import.owl_functional.owl,false,false,false
ore2014/files/approximated_12cc88b8-987e-4b15-8a46-2909d01cc984_EO.owl_functional.owl,false,false,false
ore2014/files/2588d1d0-2429-4c19-8bc2-2cbd0d361963_o_external.owl_functional.owl,false,false,false
ore2014/files/approximated_00691.owl_functional.owl,false,false,false
ore2014/files/71278021-2b7a-406d-9486-73f0367f4517_ha_1_final.rdf_functional.owl,false,false,false
ore2014/files/c669669d-7a04-410c-9474-1f6e46230556_BioLinks.owl_functional.owl,false,false,false
ore2014/files/43312838-34dc-48a0-b88d-dce08d1b80f7_ACMCSS.rdf_functional.owl,false,false,false
ore2014/files/nmosp.neuromorphoorg-species-ontology.3.owl.xml_functional.owl,false,false,false
ore2014/files/71194406-1320-4a35-bae6-1a6062dec5e5_s_biology.owl2_functional.owl,false,false,false
ore2014/files/approximated_kb-owl-syntax-unraveled-depth-0-cardinalities-disjointness-triggers-constant-classes-value-classes.ofn_functional.owl,false,false,false
ore2014/files/approximated_b06e6d66-526e-404b-a29f-42a718dd0ff2_onstraints.rdf_functional.owl,false,false,false
ore2014/files/00549.owl_functional.owl,false,false,false
ore2014/files/dc5f955e-2cce-4045-94e9-a005e287a311_doc15.rdf_functional.owl,false,false,false
ore2014/files/812f771a-df0a-4326-b234-1ed28b255fd3_protlabels.obo_functional.owl,false,false,false
ore2014/files/1d4c57b7-cbfb-4332-a588-7bc6c1544119_imitive1.0.owl_functional.owl,false,false,false
ore2014/files/00671.owl_functional.owl,false,false,false
ore2014/files/approximated_00467.owl_functional.owl,false,false,false
ore2014/files/48bcd8d8-edcc-485c-b5ae-8b0324bd57e7_kupodisease.owl_functional.owl,false,false,false
ore2014/files/45e76ee3-e223-48af-a57e-9f01044f0056_s_DAG_0_99.owl_functional.owl,false,false,false
ore2014/files/immdis.immune-disorder-ontology.1.owl.xml_functional.owl,false,false,false
ore2014/files/approximated_00692.owl_functional.owl,false,false,false
ore2014/files/881a8842-6925-4543-b935-ac529b9fadf1_onedsmall.rdfs_functional.owl,false,false,false
ore2014/files/37655913-5760-4cc7-930b-1bcc44039b01_tap.rdf_functional.owl,false,false,false
ore2014/files/09a5e9d1-e13d-414e-b7ae-7bd1a71ca15c_nFramework.owl_functional.owl,false,false,false
ore2014/files/6b6301da-b431-4b5b-a003-371a0a2e36b5_sportSoccer.owl_functional.owl,false,false,false
ore2014/files/approximated_9413a25f-fca6-496e-a121-bbb548504579_skeleton.owl_functional.owl,false,false,false
ore2014/files/1679abf2-c813-4b90-980e-6a77581b5f05_y.obo.PREVIOUS_functional.owl,false,false,false
ore2014/files/756d4706-697f-452e-99cd-dbf32081601a__ontology.owl2_functional.owl,false,false,false
ore2014/files/1c844358-6511-4960-bbed-f721da408d4a_factbookont_functional.owl,false,false,false
ore2014/files/bno.bionutrition-ontology.2.owl.xml_functional.owl,false,false,false
ore2014/files/449e618d-6e36-4068-b415-240b7e379d22_culusensfm.owl_functional.owl,false,false,false
ore2014/files/87e23548-086c-4f68-89be-37a8a40fd540_output1.owl_functional.owl,false,false,false
ore2014/files/approximated_05cef0ca-8f79-453a-90f8-6267336b6cca__phenotype.owl_functional.owl,false,false,false
ore2014/files/00076.owl_functional.owl,false,false,true
ore2014/files/59c2a3d4-020a-4a2a-8b2f-a9a9c096e102_HP.obo_functional.owl,false,false,false
ore2014/files/cbf64c86-43ed-4476-8bb3-10574675648b_openGalen.owl_functional.owl,false,false,false
ore2014/files/approximated_25949751-1d83-49d6-b85c-4d134e9b1993_Country.daml_functional.owl,false,false,false
ore2014/files/4b9cbbe9-fe50-4102-bc33-18996083982e_csontology.owl_functional.owl,false,false,false
ore2014/files/ad8dcf7b-e391-4649-9269-2a4b914bcd67_05003175s2.owl_functional.owl,false,false,false
ore2014/files/4b601286-ee1c-4cd0-b0a5-7bc39a8f14e0_ies_bridge.obo_functional.owl,false,false,false
ore2014/files/3b4771ff-4697-4b92-8123-827d4a0593ea_taxonomy.owl_functional.owl,false,false,false
ore2014/files/ba4089c6-1a4a-443d-a899-0db878457501_BRInferred.owl_functional.owl,false,false,false
ore2014/files/00456.owl_functional.owl,false,false,false
ore2014/files/a373c48f-bcd6-45e8-845f-6ca6c9f92337_reriochrom.owl_functional.owl,false,false,false
ore2014/files/0236fd90-bb5c-4c11-ac91-d3be2fa17611_es_bridge.owl2_functional.owl,false,false,false
ore2014/files/approximated_kb-owl-syntax-unraveled-depth-0-triggers-constant-classes-value-nominals.ofn_functional.owl,false,false,false
ore2014/files/0cec5da9-f8b6-46ca-bfea-d7480197c791_earthrealm.rdf_functional.owl,false,false,false
ore2014/files/9192d403-e4b4-4a77-ab24-e75b66be0e73_EV_functional.owl,false,false,false
ore2014/files/e32b6c51-d400-4298-b88f-70692d819ba4_func.owl_functional.owl,false,false,false
ore2014/files/00672.owl_functional.owl,false,false,false
ore2014/files/82bffb7c-a66b-4030-b6fe-7acab0401872_substance.rdf_functional.owl,false,false,false
ore2014/files/3f1ced30-9d74-4312-9912-33faea982172_imitive2.0.owl_functional.owl,false,false,false
ore2014/files/a770643a-3a33-4581-b206-24df36f501de_sepsimple.owl_functional.owl,false,false,false
ore2014/files/53d979de-8e9e-4293-aed9-4e4b771cd2b9_condition_5.owl_functional.owl,false,false,false
ore2014/files/cf952362-c1bd-4e77-b1bc-f861be1b9769_tc8540.owl_functional.owl,false,false,false
ore2014/files/5a546266-6d7d-439e-b41c-aa9cc99350ef_protlabels.owl_functional.owl,false,false,false
ore2014/files/58eb3156-d6a5-454d-bdc4-90451e9f740f_HP_functional.owl,false,false,false
ore2014/files/6e738d26-b8a7-484d-9739-045c8fb75aea_us_functional.owl,false,false,false
ore2014/files/13b4266c-a942-4cde-9ba0-d8f7a030fb8f_CVW3CTalks.rdf_functional.owl,false,false,false
ore2014/files/82418f21-2ce4-44ca-92f1-450cf2661732_plants_TREE.owl_functional.owl,false,false,false
ore2014/files/dec31969-74ab-4636-b9e3-2f673cc7b83a_sumonew.owl_functional.owl,false,false,false
ore2014/files/approximated_1e55d681-a13e-49db-b995-d1438007c648_y_taxonomy.owl_functional.owl,false,false,false
ore2014/files/55e57af3-069e-49ef-9e13-d109bc8a4436_e_ontology.owl_functional.owl,false,false,false
ore2014/files/hugo.human-genome-organization-gene-symbols.3.owl.xml_functional.owl,false,false,false
ore2014/files/f0851e7e-ca96-4e94-86de-b229a27fedd5_nOntology.rdfs_functional.owl,false,false,false
ore2014/files/8cd3e7ca-e898-485e-9fbf-e7c43bd5edd5_chebisimple.obo_functional.owl,false,false,false
ore2014/files/03d08800-8a69-4aa1-9857-90813d251be8_imitive1.0.owl_functional.owl,false,false,false
ore2014/files/approximated_7255322a-fa59-4d59-bc2d-359b4d17deb7_mecv.owl_functional.owl,false,false,false
ore2014/files/c013a770-9858-4879-85c4-f707812c6f81_Taxonomy.owl_functional.owl,false,false,false
ore2014/files/approximated_syn.sage-bionetworks-synapse-ontology.3.owl.xml_functional.owl,false,false,false
ore2014/files/phenx.phenx-phenotypic-terms.10.owl.xml_functional.owl,false,false,false
ore2014/files/f9d76293-60b9-4cac-8e73-dd977b5314c6_FPROBridge.owl_functional.owl,false,false,false
ore2014/files/8309fa38-4653-46e9-ae2d-1d1202c63c20_theme.owl_functional.owl,false,false,false
ore2014/files/56bcd907-a696-489d-ac44-5df521df3c60_theme.owl_functional.owl,false,false,false
ore2014/files/ef4bd609-955d-4aaa-97b5-783f205aec7d_enceDirect.owl_functional.owl,false,false,false
ore2014/files/00691.owl_functional.owl,false,false,false
ore2014/files/4cc438d3-cc07-402f-ba30-2aceac2dd268_protlabels.obo_functional.owl,false,false,false
ore2014/files/8a707c21-9784-4524-b8f7-8f27f66b0dd5_localumls.owl_functional.owl,false,false,false
ore2014/files/approximated_00361.owl_functional.owl,false,false,false
ore2014/files/00466.owl_functional.owl,false,false,false
ore2014/files/approximated_kb-owl-syntax-unraveled-depth-0-km-relevant-cardinalities-disjointness-triggers-constant-classes-value-classes.ofn_functional.owl,false,false,false
ore2014/files/approximated_e4ab4824-7a57-4467-9ff8-1f759b223bdc_schema.owl_functional.owl,false,false,false
ore2014/files/approximated_ad8735f1-9e26-4942-aab8-21b056939a89__phenotype.owl_functional.owl,false,false,false
ore2014/files/approximated_d0ded12f-0a03-4c16-9784-39f0ae56e7ff_kyamk.owl_functional.owl,false,false,true
ore2014/files/85df151d-10dc-4c89-8bbf-43b9c39080b0_SBO_functional.owl,false,false,false
ore2014/files/approximated_51bb7cb2-e990-4a5b-bc9c-743ef7081e15__phenotype.owl_functional.owl,false,false,false
ore2014/files/db609e4a-98a0-49ec-8bbd-be494fe5cb5b_t_taxonomy.obo_functional.owl,false,false,false
ore2014/files/approximated_kb-owl-syntax-unraveled-depth-0-disjointness-triggers.ofn_functional.owl,false,false,false
ore2014/files/057f47fd-45a4-4f88-8f5b-fad1a26b4c24_mmo.owl_functional.owl,false,false,false
ore2014/files/33086dde-d0d0-4b96-9871-d3579e349e57_nalisensfm.owl_functional.owl,false,false,false
ore2014/files/09e56d2d-e978-40b2-ae38-7571c5bd69ae_instrument.owl_functional.owl,false,false,false
ore2014/files/b15cb30c-4105-40e4-ad76-15d36c9a3dfc_stimulus.owl_functional.owl,false,false,false
ore2014/files/e40d2f43-2d22-4acd-8e2b-33c1e6c2c7ff_classified.owl_functional.owl,false,false,false
ore2014/files/49cbd881-2b40-4dce-bcd9-d8008d983a28_ysfunction.obo_functional.owl,false,false,false
ore2014/files/approximated_fe654bb2-e8cb-47b5-9608-8d43597b25dd_functionsfn_functional.owl,false,false,false
ore2014/files/14982ced-aaf1-409d-a03d-d2ea1ea24f05_evelopment.owl_functional.owl,false,false,false
ore2014/files/137d2b40-ac32-4f8b-9901-3a34f4a77e5b_yposimple.obo_functional.owl,false,false,false
ore2014/files/approximated_e0c43086-8882-4b88-a104-de9d7a33cf16_domfi.owl_functional.owl,false,false,true
ore2014/files/bf1b9dcd-fed7-4970-8ebf-f8dc84a1f96e__GO_import.owl_functional.owl,false,false,false
ore2014/files/approximated_kb-owl-syntax-unraveled-depth-0-km-relevant-cardinalities-triggers.ofn_functional.owl,false,false,false
ore2014/files/approximated_b97e6c80-0e4a-4911-a6e4-9216ff9ea17b_sudoku9cx.owl_functional.owl,false,false,false
ore2014/files/approximated_kb-owl-syntax-unraveled-depth-0-km-relevant-cardinalities-disjointness-triggers.ofn_functional.owl,false,false,false
ore2014/files/47d90165-631c-4248-a984-3a28830f5073_protlabels.owl_functional.owl,false,false,false
ore2014/files/00643.owl_functional.owl,false,false,false
ore2014/files/5a84343f-4ad6-42e6-b497-136563317fed_sbosimple.obo_functional.owl,false,false,false
ore2014/files/d59f8314-5bcb-410f-a1f5-d5cd2c741577_e.obo.PREVIOUS_functional.owl,false,false,false
ore2014/files/01951143-a1ee-44e6-93eb-0b82c695c0e4_gumo.owl_functional.owl,false,false,false
ore2014/files/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl,false,false,false
ore2014/files/approximated_fb011d14-3491-41cd-b27c-f47ce8dc1f46_AOIMv1.0.n3_functional.owl,false,false,false
ore2014/files/1087ecda-74d6-4676-99c1-ae4157e4cc8d_classified.obo_functional.owl,false,false,false
ore2014/files/ifar.fanconi-anemia-ontology.5.owl.xml_functional.owl,false,false,false
ore2014/files/asdpto.autism-spectrum-disorder-phenotype-ontology.1.owl.xml_functional.owl,false,false,false
ore2014/files/96978e77-9030-4f9c-84ce-c63a7cb34225__pombetype.owl_functional.owl,false,false,false
ore2014/files/52255ee6-d98a-4181-9cf2-17092d8177bf_ysfunction.owl_functional.owl,false,false,false
ore2014/files/8fc0c4ef-62df-45b5-9279-61c923399044_59_dataset.owl_functional.owl,false,false,false
ore2014/files/approximated_4dcce784-b7c8-4820-b3d4-a5880a85fba6_19115codes.owl_functional.owl,false,false,false
ore2014/files/approximated_4881c510-be9f-48bc-b503-ce965aec73b5_00499.owl_functional.owl,false,false,false
ore2014/files/8f80081c-c258-466b-a9f5-efa4b5610fb3_seontology.owl_functional.owl,false,false,false
ore2014/files/9719991a-1f5c-4af3-a9ad-5c1629157f56_NIFChemical.owl_functional.owl,false,false,false
ore2014/files/00455.owl_functional.owl,false,false,false
ore2014/files/hl7.health-level-seven-reference-implementation-model-version-3.3.owl.xml_functional.owl,false,false,false
ore2014/files/approximated_00567.owl_functional.owl,false,false,false
ore2014/files/ae9fb993-34ce-475f-ba37-cf68085c39a4_lgtl.rdfs_functional.owl,false,false,false
ore2014/files/2a7131af-1db7-4fe2-93d2-d5fa5f721622_GOCCBridge.owl_functional.owl,false,false,false
ore2014/files/approximated_a889234c-d8d4-4255-a42a-da52583c099a__versa_new.rdf_functional.owl,false,false,false
ore2014/files/approximated_545cf85b-267f-4ca7-8bd2-80f8282da824_8456544745.rdf_functional.owl,false,false,false
ore2014/files/9bf562f2-96ef-4a59-9617-371c1d90a0c8_gallustype.owl_functional.owl,false,false,false
ore2014/files/258bcc3c-ed5e-46aa-8174-36100df973ca_hpsimple.obo_functional.owl,false,false,false
ore2014/files/07a17151-c37f-4e93-9e65-2c459e27183c_EBI_import.owl_functional.owl,false,false,false
ore2014/files/00467.owl_functional.owl,false,false,false
ore2014/files/f248f15a-b996-4ac7-ad65-c4c07a3aab3f_tissueinfo.owl_functional.owl,false,false,false
ore2014/files/a60b293e-622d-44aa-b774-eb6bdd101fc4_hp.owl_functional.owl,false,false,false
ore2014/files/approximated_1f131286-0fa9-43e8-a0fb-b7798b7c1476_sasclasses.owl_functional.owl,false,false,false
ore2014/files/911b5189-69d6-459c-8fee-c5ef9e540079_xon_import.owl_functional.owl,false,false,false
ore2014/files/d0c6d3c4-7482-4ab7-9097-dba7f1ac5988_OID_import.owl_functional.owl,false,false,false
ore2014/files/3576cf9a-d2dd-4a90-aff6-215c4311e6d5_cto_obo.owl_functional.owl,false,false,false
ore2014/files/0075a29f-7bd0-4861-8b22-65a2c25ec039_vt.obo_functional.owl,false,false,false
ore2014/files/52962a04-852f-4d1a-bc4b-a001af44d964_seontology.owl_functional.owl,false,false,false
ore2014/files/approximated_00503.owl_functional.owl,false,false,false
ore2014/files/approximated_00434.owl_functional.owl,false,false,false
ore2014/files/43fcb822-c164-4c3e-bddb-6c3e1d7d6968_sculustype.obo_functional.owl,false,false,false
ore2014/files/f4342413-f689-4370-a8c3-b311414c326b_DOIDBridge.owl_functional.owl,false,false,false
ore2014/files/95628c30-1531-4f71-aacf-ea8f51025b1c_DMEntities.owl_functional.owl,false,false,true
